'Titulo';'Local';'Horario'
'A Noviça Mais Rebelde';'N/A';'N/A'
'A Bela e a Fera - O musical';'N/A';'N/A'
'Classical Queen - Cover Oficial';'N/A';'N/A'
'PiraPop Park';'N/A';'N/A'
'Caixa 2';'N/A';'N/A'
'Meno Male';'N/A';'N/A'
'A Banheira';'N/A';'N/A'
'Afonso Padilha - Stand Up Comedy no Marte Hall SP';'N/A';'N/A'
'Rapunzel - O Musical';'N/A';'N/A'
'Fritada com Henri Castelli';'N/A';'N/A'
'Back in Hell - AC/DC Cover';'N/A';'N/A'
'Igor Guimarães em Stand-up de Humor';'N/A';'N/A'
'Comédia na Paulista';'N/A';'N/A'
'Desventuras de Um Quarentão com Wagner Rodrigues';'N/A';'N/A'
'Elenco Especial - Pelo Avesso Stand Up!';'N/A';'N/A'
'T. Rex - O Dinossauro na Amazônia';'N/A';'N/A'
